,Followings,Followers,MediaCount,Likes,Comments ,CreationTime,Selfie,BodySnap,Marketing,ProductOnly,NonFashion,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
2919,6001.0,777.0,1882,5,0,1453767442,0.0103302,0.458616,0.207004,0.0395091,0.0108162,0.332938,0.0259965,0.029162,0.0356089,0.0463948,0.94278,3.96557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2920,6001.0,777.0,1882,5,0,1453766768,0.00225498,0.922691,0.106265,0.000839637,0.000225481,0.956355,0.00466073,0.00242928,0.114273,0.0203072,0.827969,5.28778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2921,1286.0,220.0,116,5,0,1453547630,0.000838701,0.0177839,0.0485269,0.93687,0.00311377,0.00781483,0.582677,0.12539,0.00238575,0.00658441,0.314024,2.05138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2922,552.0,5556.0,3415,5,0,1453482411,0.000607477,0.957891,0.00853209,0.053199,0.00022463,0.0864453,0.0346267,0.0241584,0.011701,0.0463702,0.372507,4.36204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2925,2165.0,542.0,1288,49,2,1453778686,0.00930457,0.798924,0.0241386,0.113424,0.00605513,0.141246,0.105112,0.092236,0.0321281,0.0178841,0.697395,2.63805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2936,691.0,11583.0,2778,47,0,1453312910,0.00201273,0.979973,0.0121726,0.0309013,0.000461032,0.153984,0.516754,0.0107668,0.0527549,0.0200991,0.672693,5.98097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2938,324.0,878.0,928,47,3,1453206920,0.00108534,0.216311,0.0779054,0.658381,0.00142789,0.0413917,0.267042,0.055612,0.008271,0.00867507,0.647987,5.10616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2939,7.0,8061.0,460,46,5,1453723947,0.000512834,0.0705234,0.095298,0.564441,0.000609217,0.0167751,0.018732,0.0144347,0.00222033,0.00591618,0.277212,3.27506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2942,2165.0,542.0,1288,45,2,1453675724,0.000386663,0.00426179,0.014322,0.996865,0.001543,0.000816789,0.327225,0.0712746,0.000815085,0.00829733,0.251634,2.08846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2945,7.0,8061.0,460,45,5,1453387213,0.000115126,0.000955012,0.0155307,0.99909,0.00032196,0.00072835,0.883437,0.249006,0.00021742,0.000853094,0.108266,3.55131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2947,2165.0,542.0,1288,44,2,1453550984,0.00416854,0.0489311,0.00796983,0.922373,0.0268311,0.00995035,0.0859451,0.141842,0.00634946,0.0176384,0.474065,1.96273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2949,16.0,2001.0,846,43,1,1453489370,0.0013725,0.00864629,0.00706791,0.984968,0.0156649,0.00282158,0.650442,0.230048,0.00303542,0.00309756,0.338621,2.25917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2950,7.0,8061.0,460,43,0,1453456289,0.000123631,0.00111843,0.00134875,0.999946,7.05e-05,9.3e-05,0.458839,0.0772088,0.000232927,0.000460456,0.106296,1.61642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2953,2165.0,542.0,1288,42,0,1453550791,0.00143704,0.291222,0.0166278,0.846471,0.00191278,0.00737009,0.464354,0.0813674,0.0069947,0.00315311,0.34085,3.16087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2956,136.0,2725.0,379,42,5,1453391107,0.00123762,0.0183818,0.0138499,0.860631,0.0413095,0.00948642,0.951524,0.146384,0.00515561,0.0128517,0.273174,1.92537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2959,986.0,1495.0,275,42,3,1453299697,0.000314072,0.00304696,0.0404071,0.821673,0.0471272,0.0115774,0.798779,0.10957,0.0010265,0.0103051,0.216066,3.06396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2962,449.0,516.0,785,41,2,1453363901,0.00359271,0.276222,0.0206597,0.610051,0.00212724,0.012156,0.120451,0.0789036,0.00572213,0.00777008,0.419999,3.25339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2964,136.0,2725.0,379,40,1,1453647993,0.000195598,0.0030368,0.00121129,0.999411,0.000258193,0.000171627,0.919609,0.178107,0.000240422,0.000942868,0.129969,1.32032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2965,691.0,11583.0,2778,40,0,1453580808,0.00366211,0.745575,0.0262418,0.0855853,0.019506,0.195066,0.453755,0.0331007,0.0566728,0.0799093,1.06505,5.03635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2967,51.0,4451.0,5283,4,0,1453709679,0.00139237,0.0414289,0.0135804,0.976711,0.000606958,0.00639771,0.0305003,0.019398,0.00297282,0.00557527,0.327055,5.09551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2971,2165.0,542.0,1288,39,0,1453675441,0.000371197,0.00388406,0.00282526,0.998526,0.000986909,0.00115857,0.991426,0.273298,0.000927589,0.00167328,0.141032,1.95155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2973,7.0,8061.0,460,39,0,1453362384,0.000445739,0.0157829,0.115174,0.874364,0.000960364,0.0067594,0.193363,0.0686189,0.00104847,0.00171694,0.230839,3.40108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2977,691.0,11583.0,2778,38,3,1453631470,0.000440111,0.0252618,0.00120465,0.967356,0.0204318,0.000942827,0.772925,0.0863713,0.00141974,0.000906714,0.157057,1.5248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2978,136.0,2725.0,379,38,0,1453564221,3.53e-05,0.000315494,0.000371184,0.999994,6.34e-06,1.31e-05,0.902903,0.131104,7.11e-05,0.000423608,0.0599717,1.6057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2986,691.0,11583.0,2778,37,0,1453659352,0.000597689,0.00290603,0.00863354,0.968483,0.0379099,0.00192009,0.788152,0.0541068,0.000903974,0.00809974,0.163154,1.01701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2991,1415.0,1096.0,562,36,1,1453709922,0.00279935,0.0549975,0.025779,0.915926,0.0097987,0.0126253,0.0857897,0.0643307,0.0060973,0.0165836,0.579153,4.05178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2996,691.0,11583.0,2778,36,2,1453223733,0.000161995,0.00279867,0.0427021,0.996788,0.000314998,0.00216658,0.062329,0.0339276,0.00032084,0.010704,0.201853,3.04988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,552.0,5556.0,3415,35,0,1453394498,0.00109434,0.912929,0.0542743,0.0238338,0.000361957,0.0953412,0.00936334,0.00500487,0.0148714,0.0313367,0.547817,4.4912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3012,136.0,2725.0,379,33,2,1453729899,9.58e-05,0.000689261,0.0366303,0.999843,3.69e-05,0.000322753,0.761312,0.0324157,0.000261148,0.000786502,0.117346,4.55353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3014,2165.0,542.0,1288,33,0,1453675410,0.00129536,0.00279456,0.0958111,0.991651,0.00169857,0.00479488,0.349855,0.122972,0.00257634,0.00764117,0.366232,2.12743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3020,691.0,11583.0,2778,33,1,1453226081,0.00259656,0.0111168,0.133646,0.975087,0.00509691,0.0275509,0.438077,0.074235,0.00685871,0.0106434,0.645911,4.96022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3023,2165.0,542.0,1288,32,0,1453778576,0.00166881,0.0685575,0.000477787,0.866001,0.0335794,0.00228918,0.101109,0.014627,0.00194253,0.00139692,0.191985,0.987427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3025,1685.0,7116.0,985,32,0,1453718507,0.00164785,0.0969963,0.0605077,0.744341,0.0175189,0.0532712,0.880993,0.231826,0.015873,0.0134107,0.574394,4.2728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3030,5761.0,24895.0,811,32,1,1453281126,4.22e-05,0.000498796,0.00410276,0.999415,0.000522897,0.00017849,0.999831,0.273639,0.000148306,0.000128693,0.0590159,1.59561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3032,713.0,173.0,175,32,5,1453229683,0.0076906,0.243288,0.0156637,0.396413,0.00692346,0.033968,0.0226129,0.0176306,0.00838885,0.0126793,0.449167,3.12068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3036,7.0,8061.0,460,31,0,1453718106,0.000200556,0.00126122,0.00642567,0.999066,0.000399021,0.000205012,0.300498,0.194911,0.000366434,0.0022035,0.168562,1.44831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3037,7.0,8061.0,460,31,1,1453619883,0.000994154,0.293575,0.0206025,0.516107,0.000299571,0.0221493,0.0174141,0.00709842,0.00446895,0.00550012,0.331216,5.06465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3041,2165.0,542.0,1288,31,0,1453297297,0.000427859,0.0208783,0.00268336,0.996425,0.00058576,0.000699279,0.294737,0.0575814,0.000693418,0.0125175,0.149129,2.81995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3045,156.0,237.0,1113,31,0,1453218421,0.000761402,0.0400982,0.00838989,0.96593,0.000922317,0.00373259,0.462159,0.0554006,0.00182027,0.00508242,0.265685,2.95562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3047,136.0,2725.0,379,30,1,1453658166,0.000231257,0.00416678,0.00201608,0.995591,0.00156583,0.000542762,0.98916,0.231337,0.000509195,0.00221907,0.103687,0.834762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3048,7.0,8061.0,460,30,0,1453542020,0.000147998,0.00165181,0.00495521,0.999167,0.000164236,0.000317454,0.0852159,0.0934066,0.000540238,0.00249883,0.129317,2.39614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
