,Followings,Followers,MediaCount,Likes,Comments ,CreationTime,Selfie,BodySnap,Marketing,ProductOnly,NonFashion,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
1981,58.0,24.0,4,9,0,1453882417,0.000914835,0.00860934,0.0617393,0.97416,0.0078449,0.00854618,0.0513368,0.0483935,0.00302436,0.003828,0.481368,5.46555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,475.0,1024.0,163,9,5,1453839157,0.000920334,0.00837575,0.0144446,0.992739,0.00159947,0.00308375,0.427664,0.0538474,0.00163176,0.00755323,0.206399,2.17797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,858.0,2069.0,1156,89,7,1453822602,0.00391391,0.206853,0.0246281,0.880928,0.00279989,0.0379619,0.0675298,0.0781868,0.0147313,0.0991431,0.82664,4.22907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,72.0,164.0,320,88,7,1453872664,0.000417719,0.00390852,0.0119783,0.986271,0.0134333,0.00267256,0.814238,0.109304,0.00109125,0.000684394,0.179947,3.61625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,306.0,1197.0,318,81,0,1453821814,0.000560701,0.409278,0.00422875,0.677147,0.000999164,0.00333933,0.131695,0.0728812,0.00240054,0.163484,0.240486,2.63971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,560.0,305.0,55,81,7,1453810233,0.00482475,0.971512,0.0013982,0.00941055,0.0339788,0.178576,0.971526,0.0795453,0.0781607,0.173285,0.396139,2.69151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,465.0,148.0,179,8,0,1453841578,0.00051193,0.97668,0.000660357,0.0580788,0.00172883,0.0108565,0.336339,0.0330356,0.00873582,0.00681148,0.280597,2.18208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,654.0,2663.0,285,8,1,1453816426,0.000139217,0.00670367,0.00772711,0.961703,0.00610528,0.000997146,0.0737033,0.0314234,0.000361278,0.00154728,0.21693,2.81112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,2.0,99.0,143,8,1,1453812721,0.000603375,0.0149933,0.0235086,0.700888,0.168857,0.032855,0.999821,0.259332,0.0134601,0.00595894,0.230363,1.9034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,886.0,1438.0,835,77,0,1453878293,0.00109359,0.848876,0.0253966,0.353912,0.000215635,0.0960868,0.214809,0.073378,0.0293339,0.0140105,0.65287,6.15696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,378.0,522.0,587,76,4,1453810606,0.0135906,0.679873,0.16215,0.058228,0.0221098,0.647457,0.323175,0.0483311,0.134182,0.0615502,1.25039,4.8417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,405.0,398.0,334,75,2,1453815266,0.000965759,0.457041,0.00297347,0.564251,0.00835898,0.00505637,0.27712,0.0198104,0.00410063,0.012604,0.292132,3.28916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,319.0,257.0,392,7,0,1453831572,0.000373095,0.00491845,0.078696,0.983406,0.00111716,0.00692913,0.648728,0.221118,0.00148328,0.00308182,0.345258,6.56817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,1400.0,4759.0,2864,68,0,1453865292,0.000459509,0.0057811,0.0127103,0.997432,0.00032668,0.00103262,0.308187,0.129154,0.000667847,0.00134048,0.186034,3.49157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,25.0,2693.0,590,63,1,1453849160,0.000119712,0.00625695,0.00237753,0.993594,0.00136394,0.000316787,0.0243667,0.0265451,0.000207331,0.000607748,0.0957596,3.67731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,160.0,1919.0,3814,6,0,1453875774,0.00632381,0.446768,0.00531329,0.22451,0.0128801,0.0386826,0.696725,0.145991,0.0177172,0.0100136,0.434555,1.59755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,160.0,1919.0,3814,6,0,1453875695,0.0167397,0.916113,0.04793,0.00707037,0.00335236,0.765552,0.165684,0.0314492,0.146331,0.017526,1.02145,3.28849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,78.0,10.0,14,6,0,1453819862,0.00345617,0.286266,0.00420527,0.740191,0.00739828,0.0112512,0.516532,0.219708,0.00815524,0.0713649,0.387062,2.10492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065,763.0,869.0,722,58,3,1453809373,9.97e-05,0.000833902,0.012172,0.999399,0.000219702,0.00027599,0.863898,0.356145,0.000203358,0.000186436,0.0996841,5.86182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067,1320.0,614.0,673,57,3,1453873078,0.00656385,0.933492,0.0155945,0.0156479,0.0130047,0.181839,0.170383,0.0453036,0.0555606,0.0162366,0.679329,2.68061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068,26.0,1992.0,1087,57,1,1453865441,0.000495603,0.999956,0.000605005,5.12e-05,1.04e-05,0.912578,0.00488721,0.000833419,0.288377,0.12982,0.490674,5.05626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2076,411.0,239.0,129,54,2,1453812876,0.000857643,0.984588,0.00268636,0.0229801,0.000209349,0.109226,0.110157,0.00818843,0.0359809,0.00396409,0.45599,4.12211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2078,104.0,139.0,32,53,2,1453860756,0.00246991,0.999158,0.001001,0.00102992,0.000435095,0.343262,0.0350532,0.00503614,0.155509,0.0116152,0.44,3.80208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2081,1158.0,250.0,193,52,3,1453835654,0.00551993,0.993154,0.00275229,0.00482561,0.00252047,0.0875837,0.0434146,0.0073226,0.0378287,0.013084,0.435445,2.70195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2083,521.0,1516.0,253,51,0,1453885125,0.000778067,0.997222,0.00103693,0.0060479,0.00114586,0.203234,0.954764,0.115703,0.113153,0.00734415,0.376526,2.97055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2084,314.0,223.0,976,51,0,1453875004,0.00487601,0.4938,0.0030815,0.188731,0.179096,0.0210406,0.927103,0.11762,0.0233838,0.0413269,0.299941,1.83233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2085,522.0,588.0,549,51,7,1453844756,0.00993809,0.915866,0.0474024,0.00395393,0.0134698,0.964424,0.660952,0.112162,0.266334,0.159167,1.42379,5.53803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2088,152.0,546.0,1518,50,6,1453875193,0.0239956,0.630557,0.00661865,0.175922,0.0108832,0.0947486,0.268246,0.0797544,0.0358233,0.00685479,0.502821,1.88216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2097,1018.0,792.0,32,5,1,1453877038,6.01e-05,0.381076,0.0115547,0.929784,2.43e-05,0.00201246,0.0567477,0.0356918,0.000687253,0.00148768,0.209125,3.40207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2099,129.0,135.0,356,5,0,1453827649,0.000476357,0.00565525,0.000980728,0.974922,0.0106437,0.00118871,0.987493,0.382849,0.000997616,0.00374089,0.115532,0.761034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2101,1246.0,903.0,208,5,0,1453820001,0.000699515,0.0162212,0.182103,0.876899,0.00838643,0.0346023,0.177539,0.0735259,0.00450069,0.00458846,0.508216,5.4847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2102,12.0,451.0,209,5,1,1453819813,0.000499579,0.00841555,0.0239431,0.996112,0.00015298,0.00290562,0.553273,0.169979,0.00115136,0.0034946,0.219362,4.76782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2107,27.0,2963.0,449,49,0,1453833132,0.00553309,0.976052,0.00448864,0.00311898,0.00265018,0.673087,0.106856,0.0216071,0.108566,0.0917495,0.69548,2.16761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2108,775.0,1185.0,905,49,0,1453829602,0.00297316,0.987184,0.00972765,0.0207296,0.0021863,0.29621,0.0902342,0.0236339,0.0755216,0.135321,0.873872,3.55654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2110,908.0,468.0,293,48,0,1453883929,0.00655792,0.997659,0.00775941,0.000277146,0.000279249,0.879498,0.0458977,0.00783374,0.270863,0.0228027,0.682736,4.86054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2112,392.0,260.0,175,48,4,1453816386,0.00187617,0.0330356,0.0202462,0.824317,0.0531105,0.00720478,0.95067,0.147507,0.00659295,0.00402371,0.367585,1.79747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2118,249.0,256.0,301,45,1,1453825399,0.00877521,0.998132,0.00116385,0.0020314,0.00146478,0.170742,0.0338304,0.00733282,0.0673928,0.122272,0.532229,2.8239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2121,1825.0,863.0,807,44,0,1453843788,0.00325166,0.421426,0.0662501,0.496941,0.00186296,0.264876,0.108036,0.0250486,0.0307908,0.0116893,0.831048,5.83091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2123,626.0,1150.0,530,44,0,1453830987,0.0013941,0.964008,0.000766072,0.162098,0.00146791,0.00496015,0.0733497,0.0222619,0.00579674,0.0143571,0.383638,2.39161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2125,372.0,451.0,70,44,1,1453811791,0.00310562,0.722523,0.0597273,0.195072,0.00114586,0.0625064,0.299649,0.19487,0.00989357,0.0388497,0.50571,4.01123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2128,25.0,2693.0,590,43,0,1453830776,0.00646479,0.965312,0.00543865,0.00239922,0.00267543,0.839422,0.137461,0.0235779,0.130039,0.0872614,0.75541,2.08265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2129,1059.0,1384.0,93,43,2,1453819287,0.00228306,0.979188,0.0170033,0.00655266,0.00299151,0.243802,0.716841,0.39951,0.0531373,0.0732943,0.617587,3.43796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2131,138.0,1592.0,868,42,0,1453864268,0.000620573,0.538513,0.00156182,0.681932,0.0008532,0.063275,0.934204,0.0466034,0.0122062,0.10734,0.290898,3.87735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2142,334.0,307.0,276,40,2,1453816225,0.00681452,0.109025,0.0295557,0.783545,0.0338096,0.0297213,0.64899,0.349019,0.0172498,0.157594,0.641955,2.8733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2144,160.0,1919.0,3814,4,0,1453875758,0.000430286,0.96729,0.0253821,0.00510975,0.000198455,0.182092,0.164565,0.0358586,0.0196883,0.015352,0.44223,3.71417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2145,160.0,1919.0,3814,4,0,1453875683,0.00036057,0.0340092,0.0136493,0.924843,0.00468119,0.00489327,0.579075,0.0360938,0.00194671,0.00261351,0.233802,3.77678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2146,160.0,1919.0,3814,4,0,1453875618,0.00144204,0.0284926,0.0699988,0.958107,0.00360335,0.0321454,0.106337,0.0308827,0.00942907,0.0108517,0.672531,5.73472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2147,160.0,1919.0,3814,4,0,1453875577,0.00186106,0.858775,0.0216354,0.0393055,0.00577835,0.13208,0.955056,0.140254,0.027059,0.0135359,0.384619,2.33478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2155,654.0,2663.0,285,4,1,1453816495,0.000412262,0.161572,0.00288481,0.955256,0.000545722,0.00145189,0.401985,0.0241158,0.000932885,0.000699932,0.178547,2.2252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2171,433.0,614.0,574,38,3,1453843572,0.0018584,0.413366,0.00916704,0.0974486,0.0126806,0.0230241,0.0433021,0.0227879,0.00576812,0.0123828,0.412844,2.50454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2174,373.0,342.0,24,38,2,1453841169,0.000182396,0.000807952,0.00247268,0.999023,0.00132718,0.000157919,0.819123,0.0686967,0.000215209,0.000403213,0.0892737,1.08493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2178,387.0,1208.0,735,36,0,1453878005,0.00480841,0.788941,0.0389702,0.0435116,0.0506472,0.174669,0.184396,0.0782874,0.0414406,0.258174,0.923096,2.67818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2190,437.0,2551.0,2912,34,0,1453874228,0.00125935,0.475312,0.0369172,0.482124,0.00376607,0.0420271,0.501121,0.0907662,0.0103977,0.00486279,0.465388,3.43795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2194,351.0,528.0,225,33,3,1453839147,0.00217383,0.0236972,0.0168253,0.923466,0.0217608,0.00816087,0.836519,0.220583,0.00620059,0.00902902,0.295735,1.89677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2196,0.0,11.0,64,33,3,1453810529,0.00299424,0.444789,0.0476087,0.123805,0.0316438,0.305336,0.90902,0.149942,0.0530978,0.0848574,0.807058,4.96117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,570.0,518.0,1158,32,0,1453850349,0.000241517,0.999842,0.00030256,0.000269536,7.02e-05,0.148795,0.0969306,0.00440026,0.116733,0.00258175,0.285368,4.21582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2204,489.0,1162.0,92,31,0,1453866165,0.0182158,0.712426,0.00910588,0.129714,0.0297397,0.0639977,0.0649765,0.0735242,0.0308339,0.00633855,0.759805,1.6678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2205,639.0,483.0,1042,31,2,1453848386,0.00240716,0.97641,0.0044272,0.0572886,0.00291244,0.0225614,0.054492,0.0324565,0.0178638,0.126536,0.580791,3.01649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2209,219.0,127.0,77,31,0,1453809385,0.00135978,0.0365961,0.00336035,0.956726,0.0251183,0.00478617,0.640753,0.179804,0.00312671,0.00268383,0.33026,2.25711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2215,166.0,1137.0,495,30,0,1453842783,0.000554965,0.0335317,0.00208083,0.99294,0.00210062,0.00487081,0.974164,0.110699,0.00322553,0.0112895,0.235728,3.26359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2216,249.0,256.0,301,30,0,1453825238,0.00054036,0.00264166,0.0177972,0.973583,0.00899252,0.00232136,0.994717,0.332444,0.00183046,0.0010074,0.163943,1.50889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2222,160.0,1919.0,3814,3,0,1453875668,0.000331568,0.979088,0.00954878,0.0187982,7.99e-05,0.0425092,0.0964753,0.0233552,0.0128383,0.0145388,0.306896,3.68872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2223,160.0,1919.0,3814,3,0,1453875589,0.00114409,0.0291444,0.00697524,0.969369,0.0100084,0.00339778,0.998612,0.149631,0.00576308,0.000842554,0.27476,1.95686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2229,1.0,47.0,93,3,0,1453856666,0.00687756,0.941165,0.0417303,0.0179988,0.00613145,0.288888,0.169721,0.0562057,0.0790619,0.037324,0.952647,3.28306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230,1.0,47.0,93,3,0,1453856618,0.00622934,0.956696,0.0148115,0.00471587,0.0158308,0.211019,0.217229,0.0340584,0.0734547,0.243241,0.724411,2.37631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2232,80.0,298.0,58,3,0,1453835301,0.000180208,0.0151337,0.00193826,0.997991,0.000154697,0.000484121,0.246939,0.178545,0.000536405,0.00194577,0.152582,1.67424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2233,1344.0,474.0,394,3,0,1453831065,0.00533738,0.102032,0.0235307,0.612265,0.0683548,0.0443351,0.974605,0.278909,0.0225458,0.00733885,0.668647,1.99519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2237,51.0,18.0,41,29,1,1453859570,0.00174321,0.873628,0.00252407,0.0990481,0.0130461,0.0243015,0.434882,0.12783,0.0141786,0.272669,0.539603,2.42348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
